run_accession	sample_accession	accession	experiment_accession	base_count	fastq_bytes	fastq_ftp
DRR000019	SAMD00010984	SAMD00010984	DRX000009	2794499	2436493	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000019/DRR000019.fastq.gz
DRR000238	SAMD00003483	SAMD00003483	DRX000111	3001480	2323303	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000238/DRR000238.fastq.gz
DRR000239	SAMD00003483	SAMD00003483	DRX000111	3304893	2544071	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000239/DRR000239.fastq.gz
DRR000240	SAMD00003483	SAMD00003483	DRX000111	3293992	2516198	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000240/DRR000240.fastq.gz
DRR000241	SAMD00003483	SAMD00003483	DRX000111	2814443	2217692	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000241/DRR000241.fastq.gz
DRR000474	SAMD00016567	SAMD00016567	DRX000264	10702322	8384726	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000474/DRR000474.fastq.gz
DRR000586	SAMD00009794	SAMD00009794	DRX000341	9708915	8509852	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000586/DRR000586.fastq.gz
DRR000770	SAMD00016379	SAMD00016379	DRX000475	1467152	810321	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000770/DRR000770.fastq.gz
DRR000771	SAMD00016383	SAMD00016383	DRX000476	1509419	836277	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000771/DRR000771.fastq.gz
DRR000772	SAMD00016380	SAMD00016380	DRX000477	1707463	939469	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000772/DRR000772.fastq.gz
DRR000773	SAMD00016378	SAMD00016378	DRX000478	1499955	816386	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000773/DRR000773.fastq.gz
DRR000774	SAMD00016381	SAMD00016381	DRX000479	1795770	906013	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000774/DRR000774.fastq.gz
DRR000775	SAMD00016382	SAMD00016382	DRX000480	1773834	915184	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000775/DRR000775.fastq.gz
DRR000792	SAMD00000670	SAMD00000670	DRX000488	2171596	1125203	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000792/DRR000792.fastq.gz
DRR000793	SAMD00000670	SAMD00000670	DRX000488	1876138	868607	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000793/DRR000793.fastq.gz
DRR000794	SAMD00000670	SAMD00000670	DRX000488	4101175	1789680	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000794/DRR000794.fastq.gz
DRR000795	SAMD00000670	SAMD00000670	DRX000488	3673759	1642728	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000795/DRR000795.fastq.gz
DRR000796	SAMD00000670	SAMD00000670	DRX000488	4284986	1958909	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000796/DRR000796.fastq.gz
DRR000797	SAMD00000670	SAMD00000670	DRX000488	3936857	2040898	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000797/DRR000797.fastq.gz
DRR000798	SAMD00000670	SAMD00000670	DRX000488	3303700	1743881	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000798/DRR000798.fastq.gz
DRR000799	SAMD00000670	SAMD00000670	DRX000488	2224815	1176412	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000799/DRR000799.fastq.gz
DRR000800	SAMD00000670	SAMD00000670	DRX000488	2513883	1330081	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000800/DRR000800.fastq.gz
DRR000801	SAMD00000670	SAMD00000670	DRX000488	2841662	1575529	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000801/DRR000801.fastq.gz
DRR000802	SAMD00000670	SAMD00000670	DRX000488	3526074	1835776	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000802/DRR000802.fastq.gz
DRR000803	SAMD00000670	SAMD00000670	DRX000488	2679848	1386650	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000803/DRR000803.fastq.gz
DRR000804	SAMD00000670	SAMD00000670	DRX000488	2200770	1197301	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000804/DRR000804.fastq.gz
DRR000805	SAMD00000670	SAMD00000670	DRX000488	2391234	1314483	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000805/DRR000805.fastq.gz
DRR000806	SAMD00000670	SAMD00000670	DRX000489	3327143	1522055	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000806/DRR000806.fastq.gz
DRR000807	SAMD00000670	SAMD00000670	DRX000489	1254820	589059	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000807/DRR000807.fastq.gz
DRR000808	SAMD00000670	SAMD00000670	DRX000489	2755946	1386511	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000808/DRR000808.fastq.gz
DRR000809	SAMD00000670	SAMD00000670	DRX000489	1230686	622986	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000809/DRR000809.fastq.gz
DRR000810	SAMD00000670	SAMD00000670	DRX000489	2259907	1177865	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000810/DRR000810.fastq.gz
DRR000811	SAMD00000670	SAMD00000670	DRX000489	3244374	1758803	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000811/DRR000811.fastq.gz
DRR000812	SAMD00000670	SAMD00000670	DRX000489	2568386	1372771	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000812/DRR000812.fastq.gz
DRR000813	SAMD00000670	SAMD00000670	DRX000489	2185252	1152412	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000813/DRR000813.fastq.gz
DRR000814	SAMD00000670	SAMD00000670	DRX000489	1759	1198	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000814/DRR000814.fastq.gz
DRR000815	SAMD00000670	SAMD00000670	DRX000489	1604300	874361	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000815/DRR000815.fastq.gz
DRR000816	SAMD00000670	SAMD00000670	DRX000489	2066771	1113006	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000816/DRR000816.fastq.gz
DRR000817	SAMD00000670	SAMD00000670	DRX000489	2910446	1498521	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000817/DRR000817.fastq.gz
DRR000818	SAMD00000670	SAMD00000670	DRX000489	3199481	1573446	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000818/DRR000818.fastq.gz
DRR000819	SAMD00000670	SAMD00000670	DRX000489	2107834	1158002	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000819/DRR000819.fastq.gz
DRR000820	SAMD00000670	SAMD00000670	DRX000490	712522	315156	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000820/DRR000820.fastq.gz
DRR000821	SAMD00000670	SAMD00000670	DRX000490	2724400	1222104	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000821/DRR000821.fastq.gz
DRR000822	SAMD00000670	SAMD00000670	DRX000490	2239273	1018563	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000822/DRR000822.fastq.gz
DRR000823	SAMD00000670	SAMD00000670	DRX000490	173007	83704	ftp.sra.ebi.ac.uk/vol1/fastq/DRR000/DRR000823/DRR000823.fastq.gz
